prompt,completion,opposite_sent
stem is an antonym of <extra_id_0>,"['bow', 'stems', 'stalk', 'tail', 'stem', 'shank', 'root', 'tube']",stem is a synonym of <extra_id_0>
stem is a synonym of <extra_id_0>,['leaf'],stem is an antonym of <extra_id_0>
sharing is an antonym of <extra_id_0>,"['distribution', 'sharing', 'communion', 'overlapping', 'providing', 'sharings', 'mutuality']",sharing is a synonym of <extra_id_0>
thon is an antonym of <extra_id_0>,"['ey', 'they', 'them', 'thon', 'thons']",thon is a synonym of <extra_id_0>
impersonator is an antonym of <extra_id_0>,"['impostor', 'impersonator', 'impressionist', 'impersonators', 'deceiver']",impersonator is a synonym of <extra_id_0>
living is an antonym of <extra_id_0>,"['support', 'surviving', 'animation', 'living', 'people', 'life', 'livings']",living is a synonym of <extra_id_0>
living is a synonym of <extra_id_0>,"['dead', 'nonliving']",living is an antonym of <extra_id_0>
girl is an antonym of <extra_id_0>,"['woman', 'lassie', 'girlfriend', 'girls', 'daughter', 'girl', 'child', 'kid', 'female']",girl is a synonym of <extra_id_0>
girl is a synonym of <extra_id_0>,['boy'],girl is an antonym of <extra_id_0>
dungaree is an antonym of <extra_id_0>,"['denim', 'canvas', 'dungaree', 'dungarees']",dungaree is a synonym of <extra_id_0>
equine is an antonym of <extra_id_0>,"['animal', 'equine', 'equines', 'herbivore', 'horsey', 'quadruped']",equine is a synonym of <extra_id_0>
culture is an antonym of <extra_id_0>,"['attitude', 'growth', 'polish', 'acculturation', 'cultures', 'culture', 'cultivation', 'taste', 'society']",culture is a synonym of <extra_id_0>
accent is an antonym of <extra_id_0>,"['accent', 'emphasis', 'accents', 'dialect', 'pronunciation', 'stress']",accent is a synonym of <extra_id_0>
pillar is an antonym of <extra_id_0>,"['principle', 'pillars', 'stone', 'column', 'pillar', 'supporter']",pillar is a synonym of <extra_id_0>
gent is an antonym of <extra_id_0>,"['gents', 'chap', 'gent', 'gentleman']",gent is a synonym of <extra_id_0>
knife is an antonym of <extra_id_0>,"['jackknife', 'weapon', 'knife', 'lance', 'knives', 'band', 'tongue', 'tool']",knife is a synonym of <extra_id_0>
bellybutton is an antonym of <extra_id_0>,"['bellybuttons', 'bellybutton', 'navel']",bellybutton is a synonym of <extra_id_0>
transport is an antonym of <extra_id_0>,"['transmit', 'transportation', 'conveyance', 'banish', 'rapture', 'deportee', 'ecstasy', 'transport', 'transports', 'convey', 'enchant', 'diffusion']",transport is a synonym of <extra_id_0>
frenzy is an antonym of <extra_id_0>,"['craze', 'film', 'frenzies', 'frenzy']",frenzy is a synonym of <extra_id_0>
cook is an antonym of <extra_id_0>,"['bake', 'fudge', 'chef', 'concoct', 'cook', 'cooks']",cook is a synonym of <extra_id_0>
hiking is an antonym of <extra_id_0>,"['hiking', 'hikings', 'hike']",hiking is a synonym of <extra_id_0>
basketball is an antonym of <extra_id_0>,"['basketball', 'hoops', 'ball', 'basketballs', 'sport']",basketball is a synonym of <extra_id_0>
seabird is an antonym of <extra_id_0>,"['animal', 'seafowl', 'bird', 'seabird', 'seabirds']",seabird is a synonym of <extra_id_0>
mother is an antonym of <extra_id_0>,"['goddess', 'momma', 'mum', 'mothers', 'beget', 'parent', 'metro', 'yeast', 'book', 'abbess', 'mummy', 'mother', 'inspiration', 'mom', 'mommy', 'mammy', 'mf']",mother is a synonym of <extra_id_0>
mother is a synonym of <extra_id_0>,"['daughter', 'dad', 'father']",mother is an antonym of <extra_id_0>
turret is an antonym of <extra_id_0>,"['cupola', 'turrets', 'turret', 'tower']",turret is a synonym of <extra_id_0>
fortune is an antonym of <extra_id_0>,"['condition', 'magazine', 'treasure', 'fortune', 'luck', 'fortunes']",fortune is a synonym of <extra_id_0>
fortune is a synonym of <extra_id_0>,"['poverty', 'doom', 'poor']",fortune is an antonym of <extra_id_0>
rollercoaster is an antonym of <extra_id_0>,"['rollercoasters', 'rollercoaster', 'switchback']",rollercoaster is a synonym of <extra_id_0>
ferry is an antonym of <extra_id_0>,"['ferries', 'ferry', 'transportation', 'boat', 'ship']",ferry is a synonym of <extra_id_0>
strike is an antonym of <extra_id_0>,"['assume', 'hit', 'attack', 'strickle', 'mint', 'rap', 'blow', 'pitch', 'score', 'strikes', 'fall', 'strike', 'affect']",strike is a synonym of <extra_id_0>
nose is an antonym of <extra_id_0>,"['nuzzle', 'front', 'noses', 'chemoreceptor', 'protrusion', 'pry', 'nose', 'nozzle', 'smell', 'skill', 'scent', 'symbol']",nose is a synonym of <extra_id_0>
nose is a synonym of <extra_id_0>,"['eyes', 'smell', 'mouth']",nose is an antonym of <extra_id_0>
bus is an antonym of <extra_id_0>,"['car', 'dysphemism', 'busbar', 'autobus', 'bus', 'buses']",bus is a synonym of <extra_id_0>
dude is an antonym of <extra_id_0>,"['fellow', 'mate', 'dudes', 'homey', 'fella', 'geezer', 'dude', 'guy', 'dandy', 'feller', 'dudine', 'bruce', 'chap', 'masher', 'emmet', 'bloke', 'grockle', 'fop', 'cove']",dude is a synonym of <extra_id_0>
relative is an antonym of <extra_id_0>,"['relatives', 'person', 'kin', 'proportional', 'limited', 'conditional', 'relative', 'comparative', 'organism']",relative is a synonym of <extra_id_0>
relative is a synonym of <extra_id_0>,"['unlimited', 'absolute']",relative is an antonym of <extra_id_0>
gunshot is an antonym of <extra_id_0>,"['gunshot', 'gunshots', 'gunfire']",gunshot is a synonym of <extra_id_0>
clause is an antonym of <extra_id_0>,"['article', 'clauses', 'construction', 'clause', 'norm']",clause is a synonym of <extra_id_0>
gourmet is an antonym of <extra_id_0>,"['gourmet', 'gourmets', 'hobbyist', 'foodie', 'epicure']",gourmet is a synonym of <extra_id_0>
birthday is an antonym of <extra_id_0>,"['birthday', 'date', 'birthdays', 'anniversary']",birthday is a synonym of <extra_id_0>
birthday is a synonym of <extra_id_0>,"['time', 'age', 'new', 'funeral', 'birth', 'half', 'anniversary', 'day', 'dead', 'happy', 'die', 'death', 'night', 'date']",birthday is an antonym of <extra_id_0>
trombonist is an antonym of <extra_id_0>,"['tromboner', 'musician', 'trombonist', 'trombonists']",trombonist is a synonym of <extra_id_0>
twine is an antonym of <extra_id_0>,"['twine', 'intertwine', 'twist', 'wind', 'weave', 'string', 'twines']",twine is a synonym of <extra_id_0>
altar is an antonym of <extra_id_0>,"['altars', 'structure', 'table', 'altar', 'album']",altar is a synonym of <extra_id_0>
raise is an antonym of <extra_id_0>,"['raises', 'arouse', 'resurrect', 'increase', 'lift', 'promote', 'ascent', 'gamble', 'grow', 'enhance', 'raise', 'recruit', 'rear']",raise is a synonym of <extra_id_0>
raise is a synonym of <extra_id_0>,"['pay', 'lower', 'demotion', 'push', 'down', 'cut']",raise is an antonym of <extra_id_0>
go is an antonym of <extra_id_0>,"['move', 'disappear', 'called', 'goes', 'mode', 'journey', 'known', 'leave', 'try', 'shift', 'fare', 'survive', 'takeaway', 'gage', 'energy', 'depart', 'go', 'takeout', 'approval', 'crack', 'belong', 'become', 'travel', 'Adam', 'proceed', 'weiqi', 'fit', 'fail', 'carryout', 'run', 'function', 'game', 'attempt', 'plump', 'crumble', 'airline', 'stint', 'rifle', 'start', 'turn', 'blend', 'die', 'sound']",go is a synonym of <extra_id_0>
go is a synonym of <extra_id_0>,"['come', 'freeze', 'remain', 'stand', 'stop', 'stay']",go is an antonym of <extra_id_0>
minded is an antonym of <extra_id_0>,"['minded', 'disposed', 'mindeds']",minded is a synonym of <extra_id_0>
polaroid is an antonym of <extra_id_0>,"['polaroid', 'polaroids', 'instant']",polaroid is a synonym of <extra_id_0>
fast is an antonym of <extra_id_0>,"['flying', 'tight', 'easy', 'fasts', 'immobile', 'truehearted', 'deep', 'firm', 'express', 'quickly', 'fast', 'fasting', 'degenerate', 'quick', 'abstinence', 'swiftly', 'firmly', 'ahead', 'deeply', 'fortified']",fast is a synonym of <extra_id_0>
fast is a synonym of <extra_id_0>,"['low', 'lightly', 'behind', 'penetrable', 'light', 'slowly', 'slow', 'loose', 'local', 'loosely']",fast is an antonym of <extra_id_0>
adventurous is an antonym of <extra_id_0>,"['enterprising', 'adventurous', 'adventurouss', 'rash']",adventurous is a synonym of <extra_id_0>
adventurous is a synonym of <extra_id_0>,"['safe', 'nervous']",adventurous is an antonym of <extra_id_0>
footrest is an antonym of <extra_id_0>,"['footstool', 'footrests', 'footrest']",footrest is a synonym of <extra_id_0>
noisy is an antonym of <extra_id_0>,"['noisies', 'noisy', 'loud']",noisy is a synonym of <extra_id_0>
watchful is an antonym of <extra_id_0>,"['observant', 'watchful', 'watchfuls', 'alert', 'heedful']",watchful is a synonym of <extra_id_0>
closed is an antonym of <extra_id_0>,"['closed', 'shut', 'closeds', 'unsympathetic']",closed is a synonym of <extra_id_0>
closed is a synonym of <extra_id_0>,['open'],closed is an antonym of <extra_id_0>
physical is an antonym of <extra_id_0>,"['forcible', 'physicals', 'physical']",physical is a synonym of <extra_id_0>
physical is a synonym of <extra_id_0>,['mental'],physical is an antonym of <extra_id_0>
correct is an antonym of <extra_id_0>,"['adjust', 'right', 'decline', 'correct', 'chastise', 'discipline', 'compensate', 'corrects']",correct is a synonym of <extra_id_0>
correct is a synonym of <extra_id_0>,"['incorrect', 'uncouth']",correct is an antonym of <extra_id_0>
deadly is an antonym of <extra_id_0>,"['fatal', 'lethal', 'devilishly', 'deadlies', 'lifelessly', 'deadly', 'deathly', 'venomous', 'pestilent']",deadly is a synonym of <extra_id_0>
keyboardist is an antonym of <extra_id_0>,"['keyboardist', 'musician', 'keyboarder', 'keyboardists']",keyboardist is a synonym of <extra_id_0>
motocross is an antonym of <extra_id_0>,"['motocross', 'scrambling', 'motocrosses', 'mx']",motocross is a synonym of <extra_id_0>
deaf is an antonym of <extra_id_0>,"['indifferent', 'deaf', 'people', 'deafen', 'deafs']",deaf is a synonym of <extra_id_0>
motorbike is an antonym of <extra_id_0>,"['motorbike', 'motorcycle', 'motorbikes', 'minibike']",motorbike is a synonym of <extra_id_0>
desperate is an antonym of <extra_id_0>,"['despairing', 'dire', 'do-or-die', 'desperates', 'unfortunate', 'desperate']",desperate is a synonym of <extra_id_0>
cute is an antonym of <extra_id_0>,"['cutes', 'cute', 'endearing', 'band', 'pretty', 'precious']",cute is a synonym of <extra_id_0>
handsome is an antonym of <extra_id_0>,"['handsomes', 'bighearted', 'better-looking', 'handsome']",handsome is a synonym of <extra_id_0>
revealing is an antonym of <extra_id_0>,"['revealings', 'telltale', 'revealing', 'disclosure']",revealing is a synonym of <extra_id_0>
swampy is an antonym of <extra_id_0>,"['waterlogged', 'swampy', 'swampies']",swampy is a synonym of <extra_id_0>
contemporary is an antonym of <extra_id_0>,"['contemporaneous', 'contemporary', 'modern-day', 'contemporaries', 'peer', 'present-day']",contemporary is a synonym of <extra_id_0>
contemporary is a synonym of <extra_id_0>,"['anachronistic', 'archaic']",contemporary is an antonym of <extra_id_0>
serious is an antonym of <extra_id_0>,"['serious', 'life-threatening', 'unplayful', 'seriouss']",serious is a synonym of <extra_id_0>
serious is a synonym of <extra_id_0>,"['trifling', 'jesting']",serious is an antonym of <extra_id_0>
lanky is an antonym of <extra_id_0>,"['gangling', 'lanky', 'lankies', 'gangly']",lanky is a synonym of <extra_id_0>
greatest is an antonym of <extra_id_0>,"['greatest', 'album', 'greatests']",greatest is a synonym of <extra_id_0>
aquatic is an antonym of <extra_id_0>,"['plant', 'aquatics', 'waterly', 'aquatic']",aquatic is a synonym of <extra_id_0>
rounded is an antonym of <extra_id_0>,"['roundeds', 'rounded']",rounded is a synonym of <extra_id_0>
rounded is a synonym of <extra_id_0>,['unrounded'],rounded is an antonym of <extra_id_0>
overcast is an antonym of <extra_id_0>,"['overcasts', 'cloud-covered', 'cloudiness', 'whipstitch', 'casting', 'overcast']",overcast is a synonym of <extra_id_0>
tidy is an antonym of <extra_id_0>,"['kempt', 'receptacle', 'sizeable', 'orderly', 'presentable', 'tidy', 'neat', 'tidies']",tidy is a synonym of <extra_id_0>
tidy is a synonym of <extra_id_0>,"['untidy', 'messy']",tidy is an antonym of <extra_id_0>
bible is an antonym of <extra_id_0>,"['bibles', 'tanakh', 'book', 'bible', 'handbook']",bible is a synonym of <extra_id_0>
upcoming is an antonym of <extra_id_0>,"['oncoming', 'impending', 'forthcoming', 'pending', 'coming', 'imminent', 'upcoming', 'approaching', 'nearing', 'proximate', 'upcomings']",upcoming is a synonym of <extra_id_0>
crooked is an antonym of <extra_id_0>,"['crookeds', 'asymmetrical', 'crooked', 'round-shouldered']",crooked is a synonym of <extra_id_0>
crooked is a synonym of <extra_id_0>,['straight'],crooked is an antonym of <extra_id_0>
tawny is an antonym of <extra_id_0>,"['tawny', 'fulvous', 'tawny-brown', 'tawnies']",tawny is a synonym of <extra_id_0>
distinguished is an antonym of <extra_id_0>,"['eminent', 'exceptional', 'distinguisheds', 'distinguished', 'remarkable']",distinguished is a synonym of <extra_id_0>
distinguished is a synonym of <extra_id_0>,['mediocre'],distinguished is an antonym of <extra_id_0>
lonely is an antonym of <extra_id_0>,"['solitary', 'lonelies', 'unfrequented', 'lone', 'desolate', 'lonesome', 'lonely']",lonely is a synonym of <extra_id_0>
early is an antonym of <extra_id_0>,"['betimes', 'early', 'former', 'earlies', 'prematurely']",early is a synonym of <extra_id_0>
early is a synonym of <extra_id_0>,"['late', 'tardy', 'later']",early is an antonym of <extra_id_0>
flight is an antonym of <extra_id_0>,"['trajectory', 'flights', 'stairway', 'escape', 'fledge', 'trip', 'formation', 'flight', 'flock', 'creativity']",flight is a synonym of <extra_id_0>
comfortable is an antonym of <extra_id_0>,"['comfortables', 'comforting', 'safe', 'comfortable', 'well-situated']",comfortable is a synonym of <extra_id_0>
comfortable is a synonym of <extra_id_0>,"['uncomfortable', 'comfortless']",comfortable is an antonym of <extra_id_0>
aerial is an antonym of <extra_id_0>,"['aeriform', 'aerials', 'aerial', 'antenna']",aerial is a synonym of <extra_id_0>
perpendicular is an antonym of <extra_id_0>,"['normal', 'Gothic', 'face', 'vertical', 'perpendiculars', 'perpendicular']",perpendicular is a synonym of <extra_id_0>
glaring is an antonym of <extra_id_0>,"['clowder', 'egregious', 'blinding', 'glaring', 'glarings']",glaring is a synonym of <extra_id_0>
foggy is an antonym of <extra_id_0>,"['foggy', 'fogged', 'brumous', 'bleary', 'stuporous', 'foggies']",foggy is a synonym of <extra_id_0>
baked is an antonym of <extra_id_0>,"['scorched', 'bakeds', 'baked']",baked is a synonym of <extra_id_0>
emerald is an antonym of <extra_id_0>,"['emerald', 'jewel', 'green', 'smaragd', 'mineral', 'beryl', 'minionette', 'emeralds']",emerald is a synonym of <extra_id_0>
older is an antonym of <extra_id_0>,"['elderly', 'older', 'olders']",older is a synonym of <extra_id_0>
apparent is an antonym of <extra_id_0>,"['apparents', 'visible', 'illusory', 'distinct', 'seeming', 'apparent']",apparent is a synonym of <extra_id_0>
apparent is a synonym of <extra_id_0>,"['hidden', 'ambiguous', 'inapparent', 'unapparent']",apparent is an antonym of <extra_id_0>
heavy is an antonym of <extra_id_0>,"['heavy', 'actor', 'grievous', 'overweight', 'impenetrable', 'heavies', 'sullen', 'sweer', 'wakeless', 'heavily', 'laboured', 'backbreaking', 'character', 'dark', 'clayey', 'intemperate', 'leaden', 'sonorous', 'lumbering']",heavy is a synonym of <extra_id_0>
heavy is a synonym of <extra_id_0>,"['lite', 'lightweight', 'light', 'weight']",heavy is an antonym of <extra_id_0>
unfinished is an antonym of <extra_id_0>,"['unfinisheds', 'unfinished', 'incomplete']",unfinished is a synonym of <extra_id_0>
unfinished is a synonym of <extra_id_0>,['finished'],unfinished is an antonym of <extra_id_0>
epic is an antonym of <extra_id_0>,"['larger-than-life', 'épopée', 'epics', 'epos', 'epic', 'epical']",epic is a synonym of <extra_id_0>
rough is an antonym of <extra_id_0>,"['jolting', 'coarse', 'bumpy', 'manga', 'uncut', 'rocky', 'gravelly', 'roughly', 'pugnacious', 'rough', 'boisterous', 'sensation', 'approximative', 'roughs', 'vulgar', 'site', 'harsh', 'crude']",rough is a synonym of <extra_id_0>
rough is a synonym of <extra_id_0>,"['smooth', 'fine']",rough is an antonym of <extra_id_0>
adjoining is an antonym of <extra_id_0>,"['adjoinings', 'bordering', 'adjoining', 'adjacent']",adjoining is a synonym of <extra_id_0>
adjoining is a synonym of <extra_id_0>,['separated'],adjoining is an antonym of <extra_id_0>
ongoing is an antonym of <extra_id_0>,"['ongoings', 'on-going', 'ongoing']",ongoing is a synonym of <extra_id_0>
peculiar is an antonym of <extra_id_0>,"['odd', 'peculiar', 'specific', 'peculiars', 'funny', 'particular']",peculiar is a synonym of <extra_id_0>
peculiar is a synonym of <extra_id_0>,['common'],peculiar is an antonym of <extra_id_0>
ceremonial is an antonym of <extra_id_0>,"['ceremonial', 'ceremony', 'ceremonials']",ceremonial is a synonym of <extra_id_0>
reptilian is an antonym of <extra_id_0>,"['reptile', 'reptilian', 'reptilious', 'reptilians', 'reptilelike']",reptilian is a synonym of <extra_id_0>
ghostlike is an antonym of <extra_id_0>,"['apparitional', 'ghostlikes', 'ghostlike']",ghostlike is a synonym of <extra_id_0>
spoonful is an antonym of <extra_id_0>,"['spoonful', 'spoonfuls', 'spoon']",spoonful is a synonym of <extra_id_0>
hijab is an antonym of <extra_id_0>,"['custom', 'hijab', 'hijabs', 'headscarf']",hijab is a synonym of <extra_id_0>
sigh is an antonym of <extra_id_0>,"['sighs', 'exhalation', 'breath', 'sigh', 'sithe', 'utterance', 'sound']",sigh is a synonym of <extra_id_0>
dusty is an antonym of <extra_id_0>,"['moth-eaten', 'dusty', 'dusties', 'dust-covered']",dusty is a synonym of <extra_id_0>
handicapped is an antonym of <extra_id_0>,"['handicapped', 'handicappeds', 'disabled']",handicapped is a synonym of <extra_id_0>
stout is an antonym of <extra_id_0>,"['beer', 'stalwart', 'ale', 'hardy', 'portly', 'stout', 'stouts', 'size']",stout is a synonym of <extra_id_0>
displeased is an antonym of <extra_id_0>,"['dissatisfied', 'displeaseds', 'disaffected', 'disgruntled', 'displeased', 'discontented']",displeased is a synonym of <extra_id_0>
pendant is an antonym of <extra_id_0>,"['jewelry', 'pendants', 'pendant', 'chandelier', 'pendent', 'adornment']",pendant is a synonym of <extra_id_0>
magical is an antonym of <extra_id_0>,"['sorcerous', 'magical', 'magicals']",magical is a synonym of <extra_id_0>
minor is an antonym of <extra_id_0>,"['subordinate', 'less', 'unimportant', 'pocket-size', 'petty', 'underage', 'secondary', 'venial', 'younger', 'minor', 'inferior', 'smaller', 'child', 'minors', 'inconsiderable']",minor is a synonym of <extra_id_0>
minor is a synonym of <extra_id_0>,"['adult', 'major']",minor is an antonym of <extra_id_0>
defensive is an antonym of <extra_id_0>,"['attitude', 'defensives', 'justificatory', 'defensive']",defensive is a synonym of <extra_id_0>
defensive is a synonym of <extra_id_0>,['offensive'],defensive is an antonym of <extra_id_0>
jagged is an antonym of <extra_id_0>,"['scraggy', 'jagged', 'notched', 'album', 'jaggeds']",jagged is a synonym of <extra_id_0>
okay is an antonym of <extra_id_0>,"['okays', 'O.K.', 'approve', 'hunky-dory', 'okay']",okay is a synonym of <extra_id_0>
unhealthy is an antonym of <extra_id_0>,"['unhealthy', 'insalubrious', 'unhealthies']",unhealthy is a synonym of <extra_id_0>
unhealthy is a synonym of <extra_id_0>,['healthy'],unhealthy is an antonym of <extra_id_0>
shabby is an antonym of <extra_id_0>,"['tatty', 'shabbies', 'shabby']",shabby is a synonym of <extra_id_0>
fashionable is an antonym of <extra_id_0>,"['fashionable', 'fashionables', 'styleworthy', 'stylish']",fashionable is a synonym of <extra_id_0>
social is an antonym of <extra_id_0>,"['socials', 'social', 'sociable', 'celebrating']",social is a synonym of <extra_id_0>
social is a synonym of <extra_id_0>,"['antisocial', 'unsocial', 'introverted', 'asocial']",social is an antonym of <extra_id_0>
detailed is an antonym of <extra_id_0>,"['detailed', 'detaileds', 'elaborated']",detailed is a synonym of <extra_id_0>
mischievous is an antonym of <extra_id_0>,"['harmful', 'mischievouss', 'pixilated', 'mischievous']",mischievous is a synonym of <extra_id_0>
unsure is an antonym of <extra_id_0>,"['unsures', 'unsure', 'diffident', 'uncertain', 'agnostic']",unsure is a synonym of <extra_id_0>
idle is an antonym of <extra_id_0>,"['idles', 'unwarranted', 'idle', 'unused', 'light', 'dead', 'loose', 'pointless', 'operation', 'software']",idle is a synonym of <extra_id_0>
idle is a synonym of <extra_id_0>,['active'],idle is an antonym of <extra_id_0>
triple is an antonym of <extra_id_0>,"['threefold', 'multiple', 'ternary', 'trio', 'triple', 'triples']",triple is a synonym of <extra_id_0>
actual is an antonym of <extra_id_0>,"['real', 'present', 'actuals', 'factual', 'actual', 'genuine', 'positive']",actual is a synonym of <extra_id_0>
actual is a synonym of <extra_id_0>,"['pretend', 'smaller', 'future', 'fake', 'simulated', 'potential']",actual is an antonym of <extra_id_0>
sturdy is an antonym of <extra_id_0>,"['hardy', 'gid', 'sturdies', 'sturdy', 'uncompromising']",sturdy is a synonym of <extra_id_0>
submerged is an antonym of <extra_id_0>,"['sunken', 'subaquatic', 'submergeds', 'submerged']",submerged is a synonym of <extra_id_0>
sterile is an antonym of <extra_id_0>,"['barren', 'infertile', 'unimaginative', 'aseptic', 'steriles', 'sterile']",sterile is a synonym of <extra_id_0>
sterile is a synonym of <extra_id_0>,['unsterile'],sterile is an antonym of <extra_id_0>
faster is an antonym of <extra_id_0>,"['faster', 'quicker', 'fasters']",faster is a synonym of <extra_id_0>
faster is a synonym of <extra_id_0>,['slower'],faster is an antonym of <extra_id_0>
personal is an antonym of <extra_id_0>,"['personals', 'personly', 'personal', 'advertisement']",personal is a synonym of <extra_id_0>
personal is a synonym of <extra_id_0>,['public'],personal is an antonym of <extra_id_0>
raw is an antonym of <extra_id_0>,"['unsanded', 'new', 'nakedness', 'raws', 'naked', 'natural', 'comic', 'raw', 'sensitive', 'crude', 'cutting']",raw is a synonym of <extra_id_0>
raw is a synonym of <extra_id_0>,['cooked'],raw is an antonym of <extra_id_0>
colored is an antonym of <extra_id_0>,"['coloreds', 'colored', 'bleached', 'coloured', 'one-sided']",colored is a synonym of <extra_id_0>
super is an antonym of <extra_id_0>,"['supers', 'exceedingly', 'supra', 'super', 'duplet', 'awesome', 'first-rate', 'superintendent', 'software']",super is a synonym of <extra_id_0>
super is a synonym of <extra_id_0>,"['sub', 'infra', 'nadir']",super is an antonym of <extra_id_0>
daydreaming is an antonym of <extra_id_0>,"['daydreaming', 'reverie', 'daydreamings']",daydreaming is a synonym of <extra_id_0>
slightly is an antonym of <extra_id_0>,"['slightlies', 'slightly', 'little', 'marginally', 'somewhat']",slightly is a synonym of <extra_id_0>
slightly is a synonym of <extra_id_0>,['quite'],slightly is an antonym of <extra_id_0>
tiny is an antonym of <extra_id_0>,"['tiny', 'tinies', 'midget', 'miniscule']",tiny is a synonym of <extra_id_0>
tiny is a synonym of <extra_id_0>,"['great', 'huge']",tiny is an antonym of <extra_id_0>
worthy is an antonym of <extra_id_0>,"['suitable', 'worthies', 'worthy']",worthy is a synonym of <extra_id_0>
worthy is a synonym of <extra_id_0>,['unworthy'],worthy is an antonym of <extra_id_0>
adjacent is an antonym of <extra_id_0>,"['adjoining', 'adjacents', 'juxtaposed', 'contiguous', 'adjacent', 'abutting', 'near', 'neighboring']",adjacent is a synonym of <extra_id_0>
adjacent is a synonym of <extra_id_0>,['apart'],adjacent is an antonym of <extra_id_0>
wicked is an antonym of <extra_id_0>,"['naughty', 'pixilated', 'musical', 'wickeds', 'awesome', 'sinful', 'evil', 'terrible', 'mean', 'wicked', 'distasteful', 'hella']",wicked is a synonym of <extra_id_0>
moss is an antonym of <extra_id_0>,"['bryophyte', 'mosses', 'moss']",moss is a synonym of <extra_id_0>
solar is an antonym of <extra_id_0>,"['sunly', 'solars', 'solar']",solar is a synonym of <extra_id_0>
pleased is an antonym of <extra_id_0>,"['happy', 'satisfied', 'content', 'pleased', 'pleaseds']",pleased is a synonym of <extra_id_0>
ecstatic is an antonym of <extra_id_0>,"['joyful', 'elated', 'ecstatics', 'joyous', 'enraptured', 'euphoric', 'ecstatic', 'delirious', 'blissful']",ecstatic is a synonym of <extra_id_0>
nighttime is an antonym of <extra_id_0>,"['night', 'nighttime', 'nighttimes']",nighttime is a synonym of <extra_id_0>
nighttime is a synonym of <extra_id_0>,"['day', 'daytime']",nighttime is an antonym of <extra_id_0>
sighted is an antonym of <extra_id_0>,"['sighted', 'sighteds']",sighted is a synonym of <extra_id_0>
sighted is a synonym of <extra_id_0>,['blind'],sighted is an antonym of <extra_id_0>
oriental is an antonym of <extra_id_0>,"['orientals', 'oriental']",oriental is a synonym of <extra_id_0>
oriental is a synonym of <extra_id_0>,['occidental'],oriental is an antonym of <extra_id_0>
tame is an antonym of <extra_id_0>,"['tames', 'tame', 'domesticate', 'meek', 'domesticated']",tame is a synonym of <extra_id_0>
nerdy is an antonym of <extra_id_0>,"['nerdy', 'nerdies', 'nerdish']",nerdy is a synonym of <extra_id_0>
diverse is an antonym of <extra_id_0>,"['divers', 'multiform', 'differing', 'unlike', 'variant', 'disagreeing', 'dissimilar', 'diverses', 'multifarious', 'diverse', 'varying', 'heterogeneous']",diverse is a synonym of <extra_id_0>
diverse is a synonym of <extra_id_0>,['homogeneous'],diverse is an antonym of <extra_id_0>
dramatic is an antonym of <extra_id_0>,"['dramatics', 'dramatic', 'striking']",dramatic is a synonym of <extra_id_0>
happy is an antonym of <extra_id_0>,"['happify', 'happies', 'felicitous', 'fortunate', 'happy', 'well-chosen', 'cheerful']",happy is a synonym of <extra_id_0>
happy is a synonym of <extra_id_0>,"['inappropriate', 'blue', 'sadness', 'sad', 'unhappy', 'disenchanted', 'unfortunate']",happy is an antonym of <extra_id_0>
redhead is an antonym of <extra_id_0>,"['human', 'person', 'musical', 'bloodnut', 'redheads', 'duck', 'redhead', 'bird']",redhead is a synonym of <extra_id_0>
cracked is an antonym of <extra_id_0>,"['cracked', 'crazed', 'crackeds', 'roughened', 'alligatored', 'discordant']",cracked is a synonym of <extra_id_0>
tasty is an antonym of <extra_id_0>,"['tasty', 'tasties']",tasty is a synonym of <extra_id_0>
tasty is a synonym of <extra_id_0>,['tasteless'],tasty is an antonym of <extra_id_0>
pointy is an antonym of <extra_id_0>,"['pointed', 'pointy', 'pointies']",pointy is a synonym of <extra_id_0>
psychic is an antonym of <extra_id_0>,"['psychics', 'psychical', 'occultist', 'psychic']",psychic is a synonym of <extra_id_0>
puzzled is an antonym of <extra_id_0>,"['puzzled', 'nonplussed', 'puzzleds']",puzzled is a synonym of <extra_id_0>
humanitarian is an antonym of <extra_id_0>,"['humanitarian', 'humanist', 'humanitarians', 'benefactor', 'human-centered']",humanitarian is a synonym of <extra_id_0>
haunted is an antonym of <extra_id_0>,"['haunteds', 'preoccupied', 'haunted']",haunted is a synonym of <extra_id_0>
cobble is an antonym of <extra_id_0>,"['repair', 'cobble', 'cobbles']",cobble is a synonym of <extra_id_0>
experienced is an antonym of <extra_id_0>,"['experienceds', 'experienced']",experienced is a synonym of <extra_id_0>
experienced is a synonym of <extra_id_0>,"['inexperienced', 'green']",experienced is an antonym of <extra_id_0>
circular is an antonym of <extra_id_0>,"['round', 'circulars', 'circular', 'flyer', 'orbitual', 'ad']",circular is a synonym of <extra_id_0>
adorn is an antonym of <extra_id_0>,"['grace', 'deck', 'invest', 'ornament', 'adorn', 'prettify', 'beautify', 'decorate', 'bedeck', 'adorns']",adorn is a synonym of <extra_id_0>
egyptian is an antonym of <extra_id_0>,"['human', 'Afroasiatic', 'egyptians', 'egyptian', 'book', 'arab', 'african', 'African']",egyptian is a synonym of <extra_id_0>
many is an antonym of <extra_id_0>,"['many', 'lot', 'manies']",many is a synonym of <extra_id_0>
many is a synonym of <extra_id_0>,"['none', 'few', 'one']",many is an antonym of <extra_id_0>
